stage,id,axis,title,authors,year,source_url,evidence,priority,model,parameters,webgpu_contact,cost,difficulty,visual_effect,assumption,falsification
CANDIDATE,B01,Whitewater,High-fidelity simulations of bubble droplet and spray formation in breaking waves,Zhaoyuan Wang; Jianming Yang; Frederick Stern,2016,https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/abs/highfidelity-simulations-of-bubble-droplet-and-spray-formation-in-breaking-waves/8B26A9EA5D63F43BDC6BA15B2AEA7AC1,PRIMARY_ABSTRACT,B,high resolution breaking wave structures and droplet size distributions,droplet radius; impact phase; entrainment,spray.wgsl size and lifetime hypothesis,High,more credible spray variation,distributions calibrate rather than reproduce,one particle size remains dominant
CANDIDATE|SHORTLIST_15|FINAL_10,B02,Whitewater,Simulating Whitewater Rapids in Ratatouille,Eric Froemling; Tolga Goktekin; Darwyn Peachey,2007,https://graphics.pixar.com/library/Whitewater/paper.pdf,PRIMARY_LINK,B,layered foam spray mist and bubble emitters,emitter placement; material class; lifetime;spray advection,spray.wgsl and scene.wgsl,O(N) particles,Medium,readable whitewater hierarchy,only foam and spray map to current buffer,layers merge visually
CANDIDATE|SHORTLIST_15|FINAL_10,B03,Whitewater,Guided Bubbles and Wet Foam for Realistic Whitewater Simulation,Joel Wretborn; Sean Flynn; Alexey Stomakhin,2022,https://alexey.stomakhin.com/research/siggraph2022_whitewater.pdf,PRIMARY_LINK,B,surface-constrained foam with phase-specific transport,surface adhesion; viscosity; conversion; lifetime,spray.wgsl surface hit and reattachment,Medium to High,foam follows and rejoins the breaker,only adhesion and lifetime are adapted,foam floats or tunnels
CANDIDATE,B04,Whitewater,Lattice Boltzmann Simulation of Multiphase Flows; Application to Wave Breaking and Sea Spray Generation,Amir Banari,2014,https://digitalcommons.uri.edu/oa_diss/282/,ABSTRACT_PRIMARY,C,multiphase LBM with Lagrangian sea spray tracking,density ratio; Reynolds; coupling; criterion,spray direction reference,Very High,physically motivated spray direction,full LBM is out of scope,second fluid solver is required
CANDIDATE|SHORTLIST_15,B05,Whitewater,Experimental Investigation of Droplet Generation by Post-Breaking Plunger Waves,Various authors,2021,https://arxiv.org/abs/2112.01396,ABSTRACT_PRIMARY,C,laboratory measurement of post-breaking spray production,impact phase; droplet count; size; delay,spray birth timing,Low lookup,Medium,less synchronized spray bursts,relative timing is more useful than absolute scale,all particles are born at one threshold
CANDIDATE,B06,Whitewater,Numerical simulations of surf zone wave dynamics using SPH,Various authors,2020,https://arxiv.org/abs/2002.00827,ABSTRACT_PRIMARY,C,SPH breaking over beach and reef profiles compared with flume data,bathymetry; breaking index; wave height,dynamic breaking regime,High,distinction between spilling and plunging,scene has no explicit bathymetry,regime cannot map to crest evidence
CANDIDATE,B07,Whitewater,Whitewater source criteria,SideFX,Current,https://www.sidefx.com/docs/houdini/shelf/whitewater.html,OFFICIAL_TECHNICAL,C,curvature acceleration and vorticity source secondary material,curvature; acceleration; vorticity; erosion,diagnostic feature reference,Low lookup,Low,practical emission controls,technical docs are not peer-reviewed physics,control has no measurable observable
CANDIDATE,B08,Whitewater,Particle-Based Fluid Simulation for Interactive Applications,Matthias Muller et al.,2003,https://doi.org/10.1145/846276.846298,PRIMARY_METADATA,C,SPH density estimation and pressure forces,rest density; radius; pressure; viscosity,secondary particle behavior reference,High,particle spacing intuition,grid ocean remains primary,neighbor search is unavailable
CANDIDATE,B09,Whitewater,SPH Fluids in Computer Graphics,Markus Ihmsen et al.,2014,https://diglib.eg.org/server/api/core/bitstreams/132893a6-d728-4f8d-afce-d60c4c12517d/content,SECONDARY_SURVEY,C,surface reconstruction and diffuse material survey,smoothing length; surface radius; diffuse class,representation comparison,High,choice between particles fog and mesh,not a direct implementation claim,full reconstruction is too costly
CANDIDATE,B10,Whitewater,Whitewater Solver lifecycle reference,SideFX,Current,https://www.sidefx.com/docs/houdini/nodes/dop/whitewatersolver.html,OFFICIAL_TECHNICAL,C,foam surface advection; spray ballistic motion; bubbles buoyant,depth; adhesion; erosion; aging,phase-state reference,Low lookup,Low,clearer persistent versus transient material,do not copy Houdini scale assumptions,phase transitions are not visible
CANDIDATE,C01,Stylized shading,A Non-Photorealistic Lighting Model for Automatic Technical Illustration,Amy Gooch; Bruce Gooch; Peter Shirley; Elaine Cohen,1998,https://doi.org/10.1145/280814.280950,PRIMARY_METADATA,B,warm and cool tone mapping from normal-light relation,cool tone; warm tone; threshold; ramp,scene.wgsl plate palette,O(N) fragment,Low,stronger flat-print volume,not exact Hokusai chemistry,tone bands obscure silhouette
CANDIDATE|SHORTLIST_15|FINAL_10,C02,Stylized shading,Suggestive Contours for Conveying Shape,Douglas DeCarlo; Adam Finkelstein; Szymon Rusinkiewicz; Anthony Santella,2003,https://ics.uci.edu/~majumder/vispercep/suggestive_contous.pdf,PRIMARY_FULLTEXT,A,visible suggestive contours from radial curvature zero crossings,radial curvature; visibility; line width,post.wgsl Sobel and scene.wgsl crest lines,O(N) fragment,Medium,ink lines that anticipate form,screen derivatives approximate the intent,noise on distant ranks
CANDIDATE|SHORTLIST_15|FINAL_10,C03,Stylized shading,Measuring and Modeling Anisotropic Reflection,Gregory J Ward,1992,https://eta-publications.lbl.gov/sites/default/files/lbl-31698.pdf,PRIMARY_FULLTEXT,B,Ward anisotropic lobe with tangent-dependent roughness,roughness alpha beta; tangent; half vector; gain,scene.wgsl directional highlight,O(N) fragment,Medium,broken crest highlights aligned to flow,lobe remains bounded and plate-quantized,photographic gloss returns
CANDIDATE,C04,Stylized shading,Processing Images and Video for an Impressionistic Effect,Peter Litwinowicz,1997,https://www2.cs.utah.edu/gdc/projects/illustration/,SECONDARY_OFFICIAL,C,coherent image-space brush-like processing,stroke direction; temporal coherence; scale,post.wgsl grain and coherent breakup,O(N) fragment,Medium,less uniform print texture,no external image texture,frame-to-frame flicker
CANDIDATE,C05,Stylized shading,Wavelet Turbulence for Fluid Simulation,Theodore Kim et al.,2008,https://www.cs.cornell.edu/~tedkim/WTURB/wavelet_turbulence.pdf,PRIMARY_FULLTEXT,B,low-resolution flow controls coherent high-frequency bands,band count; detail energy; coherence,scene.wgsl turbulence mask,auxiliary O(N),High,craggy crest detail,detail bands are bounded and deterministic,aliasing into tiles
CANDIDATE,C06,Stylized shading,An Anisotropic Phong BRDF Model,Michael Ashikhmin; Peter Shirley,2000,https://doi.org/10.1080/10867651.2000.10487522,ABSTRACT_ONLY,C,anisotropic exponent controls tangent highlight spread,exponent; tangent frame; specular gain,scene.wgsl fallback lobe,O(N) fragment,Low,cheap directional highlight,used only as Ward fallback,highlight loses plate hierarchy
CANDIDATE,D01,Art reference,The Great Wave Anatomy of an Icon,Metropolitan Museum of Art,2019,https://www.metmuseum.org/ja/essays/hokusai-great-wave,DIRECT_OFFICIAL,Reference,material analysis of Prussian blue saturation contrast and woodblock process,blue palette; plate contrast; print process,scene.wgsl and post.wgsl reference,None,Low,credible blue and paper contrast,art interpretation is not physics,claim lacks visible composition mapping
CANDIDATE,D02,Art reference,The Great Wave off Kanagawa collection notes,Los Angeles County Museum of Art,1830,https://collections.lacma.org/object/88781,DIRECT_OFFICIAL,Reference,circular wave and triangular mountain create movement versus stillness,near/far scale; focal offset; negative space,main.js camera reference,None,Low,off-center focal tension,composition is an artistic hypothesis,offset reduces crest readability
CANDIDATE,D03,Art reference,Thirty-six Views of Mount Fuji The Great Wave off Kanagawa,Tokyo Fuji Art Museum,1830,https://www.fujibi.or.jp/en/collection/artwork/03628/,DIRECT_OFFICIAL,Reference,movement and stillness with near and far juxtaposition,focal offset; horizon; negative space,main.js camera preset,None,Low,intentional negative space and rhythm,curatorial language is not a physical law,preset changes position without hierarchy
CANDIDATE,D04,Art reference,The Great Wave off Kanagawa online course,National Gallery of Victoria,2009,https://courses.ngv.vic.gov.au/topic/the-great-wave/,DIRECT_OFFICIAL,Reference,print lineage and key-line impression context,line weight; registration; palette,post.wgsl ink reference,None,Low,legible contours and imperfect registration,procedural rendering remains texture-free,registration reads as chromatic aberration
